,total_bill,tip,sex,smoker,day,time,size,discounted_price,running_total,Bill_by_Day
0,16.99,1.01,Female,No,Sun,Dinner,2,15.290999999999999,16.99,16.99
1,10.34,1.66,Male,No,Sun,Dinner,3,9.306,27.33,27.33
2,21.01,3.5,Male,No,Sun,Dinner,3,18.909000000000002,48.34,48.34
3,23.68,3.31,Male,No,Sun,Dinner,2,21.312,72.02000000000001,72.02000000000001
4,24.59,3.61,Female,No,Sun,Dinner,4,22.131,96.61000000000001,96.61000000000001
5,25.29,4.71,Male,No,Sun,Dinner,4,22.761,121.9,121.9
6,8.77,2.0,Male,No,Sun,Dinner,2,7.893,130.67000000000002,130.67000000000002
7,26.88,3.12,Male,No,Sun,Dinner,4,24.192,157.55,157.55
8,15.04,1.96,Male,No,Sun,Dinner,2,13.536,172.59,172.59
9,14.78,3.23,Male,No,Sun,Dinner,2,13.302,187.37,187.37
10,10.27,1.71,Male,No,Sun,Dinner,2,9.243,197.64000000000001,197.64000000000001
11,35.26,5.0,Female,No,Sun,Dinner,4,31.733999999999998,232.9,232.9
12,15.42,1.57,Male,No,Sun,Dinner,2,13.878,248.32,248.32
13,18.43,3.0,Male,No,Sun,Dinner,4,16.587,266.75,266.75
14,14.83,3.02,Female,No,Sun,Dinner,2,13.347,281.58,281.58
15,21.58,3.92,Male,No,Sun,Dinner,2,19.421999999999997,303.15999999999997,303.15999999999997
16,10.33,1.67,Female,No,Sun,Dinner,3,9.297,313.48999999999995,313.48999999999995
17,16.29,3.71,Male,No,Sun,Dinner,3,14.661,329.78,329.78
18,16.97,3.5,Female,No,Sun,Dinner,3,15.273,346.75,346.75
19,20.65,3.35,Male,No,Sat,Dinner,3,18.584999999999997,367.4,20.65
20,17.92,4.08,Male,No,Sat,Dinner,2,16.128,385.32,38.57
21,20.29,2.75,Female,No,Sat,Dinner,2,18.261,405.61,58.86
22,15.77,2.23,Female,No,Sat,Dinner,2,14.193,421.38,74.63
23,39.42,7.58,Male,No,Sat,Dinner,4,35.478,460.8,114.05
24,19.82,3.18,Male,No,Sat,Dinner,2,17.838,480.62,133.87
25,17.81,2.34,Male,No,Sat,Dinner,4,16.029,498.43,151.68
26,13.37,2.0,Male,No,Sat,Dinner,2,12.033,511.8,165.05
27,12.69,2.0,Male,No,Sat,Dinner,2,11.421,524.49,177.74
28,21.7,4.3,Male,No,Sat,Dinner,2,19.53,546.19,199.44
29,19.65,3.0,Female,No,Sat,Dinner,2,17.685,565.84,219.09
30,9.55,1.45,Male,No,Sat,Dinner,2,8.595,575.39,228.64000000000001
31,18.35,2.5,Male,No,Sat,Dinner,4,16.515,593.74,246.99
32,15.06,3.0,Female,No,Sat,Dinner,2,13.554,608.8,262.05
33,20.69,2.45,Female,No,Sat,Dinner,4,18.621000000000002,629.49,282.74
34,17.78,3.27,Male,No,Sat,Dinner,2,16.002000000000002,647.27,300.52
35,24.06,3.6,Male,No,Sat,Dinner,3,21.654,671.3299999999999,324.58
36,16.31,2.0,Male,No,Sat,Dinner,3,14.678999999999998,687.6399999999999,340.89
37,16.93,3.07,Female,No,Sat,Dinner,3,15.237,704.5699999999998,357.82
38,18.69,2.31,Male,No,Sat,Dinner,3,16.821,723.2599999999999,376.51
39,31.27,5.0,Male,No,Sat,Dinner,3,28.143,754.5299999999999,407.78
40,16.04,2.24,Male,No,Sat,Dinner,3,14.436,770.5699999999998,423.82
41,17.46,2.54,Male,No,Sun,Dinner,2,15.714,788.0299999999999,364.21
42,13.94,3.06,Male,No,Sun,Dinner,2,12.546,801.9699999999999,378.15
43,9.68,1.32,Male,No,Sun,Dinner,2,8.712,811.6499999999999,387.83
44,30.4,5.6,Male,No,Sun,Dinner,4,27.36,842.0499999999998,418.22999999999996
45,18.29,3.0,Male,No,Sun,Dinner,2,16.461,860.3399999999998,436.52
46,22.23,5.0,Male,No,Sun,Dinner,2,20.007,882.5699999999998,458.75
47,32.4,6.0,Male,No,Sun,Dinner,4,29.159999999999997,914.9699999999998,491.15
48,28.55,2.05,Male,No,Sun,Dinner,3,25.695,943.5199999999998,519.6999999999999
49,18.04,3.0,Male,No,Sun,Dinner,2,16.236,961.5599999999997,537.7399999999999
50,12.54,2.5,Male,No,Sun,Dinner,2,11.286,974.0999999999997,550.2799999999999
51,10.29,2.6,Female,No,Sun,Dinner,2,9.261,984.3899999999996,560.5699999999998
52,34.81,5.2,Female,No,Sun,Dinner,4,31.329,1019.1999999999996,595.3799999999999
53,9.94,1.56,Male,No,Sun,Dinner,2,8.946,1029.1399999999996,605.3199999999999
54,25.56,4.34,Male,No,Sun,Dinner,4,23.003999999999998,1054.6999999999996,630.8799999999999
55,19.49,3.51,Male,No,Sun,Dinner,2,17.540999999999997,1074.1899999999996,650.3699999999999
56,38.01,3.0,Male,Yes,Sat,Dinner,4,34.208999999999996,1112.1999999999996,461.83
57,26.41,1.5,Female,No,Sat,Dinner,2,23.769,1138.6099999999997,488.24
58,11.24,1.76,Male,Yes,Sat,Dinner,2,10.116,1149.8499999999997,499.48
59,48.27,6.73,Male,No,Sat,Dinner,4,43.443000000000005,1198.1199999999997,547.75
60,20.29,3.21,Male,Yes,Sat,Dinner,2,18.261,1218.4099999999996,568.04
61,13.81,2.0,Male,Yes,Sat,Dinner,2,12.429,1232.2199999999996,581.8499999999999
62,11.02,1.98,Male,Yes,Sat,Dinner,2,9.918,1243.2399999999996,592.8699999999999
63,18.29,3.76,Male,Yes,Sat,Dinner,4,16.461,1261.5299999999995,611.1599999999999
64,17.59,2.64,Male,No,Sat,Dinner,3,15.831,1279.1199999999994,628.7499999999999
65,20.08,3.15,Male,No,Sat,Dinner,3,18.072,1299.1999999999994,648.8299999999999
66,16.45,2.47,Female,No,Sat,Dinner,2,14.805,1315.6499999999994,665.28
67,3.07,1.0,Female,Yes,Sat,Dinner,1,2.763,1318.7199999999993,668.35
68,20.23,2.01,Male,No,Sat,Dinner,2,18.207,1338.9499999999994,688.58
69,15.01,2.09,Male,Yes,Sat,Dinner,2,13.509,1353.9599999999994,703.59
70,12.02,1.97,Male,No,Sat,Dinner,2,10.818,1365.9799999999993,715.61
71,17.07,3.0,Female,No,Sat,Dinner,3,15.363,1383.0499999999993,732.6800000000001
72,26.86,3.14,Female,Yes,Sat,Dinner,2,24.174,1409.9099999999992,759.5400000000001
73,25.28,5.0,Female,Yes,Sat,Dinner,2,22.752000000000002,1435.1899999999991,784.82
74,14.73,2.2,Female,No,Sat,Dinner,2,13.257,1449.9199999999992,799.5500000000001
75,10.51,1.25,Male,No,Sat,Dinner,2,9.459,1460.4299999999992,810.0600000000001
76,17.92,3.08,Male,Yes,Sat,Dinner,2,16.128,1478.3499999999992,827.98
77,27.2,4.0,Male,No,Thur,Lunch,4,24.48,1505.5499999999993,27.2
78,22.76,3.0,Male,No,Thur,Lunch,2,20.484,1528.3099999999993,49.96
79,17.29,2.71,Male,No,Thur,Lunch,2,15.561,1545.5999999999992,67.25
80,19.44,3.0,Male,Yes,Thur,Lunch,2,17.496000000000002,1565.0399999999993,86.69
81,16.66,3.4,Male,No,Thur,Lunch,2,14.994,1581.6999999999994,103.35
82,10.07,1.83,Female,No,Thur,Lunch,1,9.063,1591.7699999999993,113.41999999999999
83,32.68,5.0,Male,Yes,Thur,Lunch,2,29.412,1624.4499999999994,146.1
84,15.98,2.03,Male,No,Thur,Lunch,2,14.382,1640.4299999999994,162.07999999999998
85,34.83,5.17,Female,No,Thur,Lunch,4,31.346999999999998,1675.2599999999993,196.90999999999997
86,13.03,2.0,Male,No,Thur,Lunch,2,11.727,1688.2899999999993,209.93999999999997
87,18.28,4.0,Male,No,Thur,Lunch,2,16.452,1706.5699999999993,228.21999999999997
88,24.71,5.85,Male,No,Thur,Lunch,2,22.239,1731.2799999999993,252.92999999999998
89,21.16,3.0,Male,No,Thur,Lunch,2,19.044,1752.4399999999994,274.09
90,28.97,3.0,Male,Yes,Fri,Dinner,2,26.073,1781.4099999999994,28.97
91,22.49,3.5,Male,No,Fri,Dinner,2,20.241,1803.8999999999994,51.459999999999994
92,5.75,1.0,Female,Yes,Fri,Dinner,2,5.175,1809.6499999999994,57.209999999999994
93,16.32,4.3,Female,Yes,Fri,Dinner,2,14.688,1825.9699999999993,73.53
94,22.75,3.25,Female,No,Fri,Dinner,2,20.475,1848.7199999999993,96.28
95,40.17,4.73,Male,Yes,Fri,Dinner,4,36.153,1888.8899999999994,136.45
96,27.28,4.0,Male,Yes,Fri,Dinner,2,24.552,1916.1699999999994,163.73
97,12.03,1.5,Male,Yes,Fri,Dinner,2,10.827,1928.1999999999994,175.76
98,21.01,3.0,Male,Yes,Fri,Dinner,2,18.909000000000002,1949.2099999999994,196.76999999999998
